0,0,"Cty1","qwmnhh2009",,1,"Flag",0,0,2
3,0,"Cty2","zzuyngg200",,1,"Flag",0,0,2
0,1,"BooVille","Grecian","GLOBAL",1,"GA",0,67688,2
6,1,"City Name","james07608158",,1,"Flag",0,0,2
3,3,"No","Crotch",,1,"No",0,53275,2
6,3,"City Name","popelinque",,3,"Flag",0,16,2
7,4,1040,1040,,1,1111,0,100,2
3,5,"City Name","Lord56226291",,3,"Flag",0,0,2
5,5,"najojascit","najoja12345",,1,"Flag",0,57,2
1,7,"City Name","ionux19",,3,"Flag",0,25,2
8,3,"City Name","wassila",,1,"Flag",0,57,2
15,4,"City Name","fabyvens",,1,"Flag",0,0,2
8,7,"City Name","natalicia",,3,"Flag",0,0,2
12,7,"LaVeet","Neoma","Phoenix",1,"FSQI",5272,385739,2
13,7,"DAVILLE","Neoma","Phoenix",1,"FSQI",5272,385739,2
19,1,"City Name","courtneyroques",,1,"Flag",0,50,2
20,1,"City Name","lukaswtf",,1,"Flag",0,8,2
16,3,"castleName","Babes",,1,"Babe",0,0,2
17,4,"City Name","DARKKNIGHT",,1,"Flag",0,230,2
22,4,"Tank","zecklin","KiLLers",1,"X",0,55296,2
20,7,"City Name","DimondDash",,1,"WL",0,6215,2
26,1,"City Name","fafa malash",,3,"Flag",0,0,2
29,1,"City Name","catriel12",,1,"Flag",0,0,2
30,3,"City Name","juako 2013",,3,"Flag",0,25,2
31,3,"City Name","cpaz",,3,"Flag",0,0,2
26,4,"castleName","Sazzy",,1,"Flag",0,0,2
30,4,"City Name","Matii",,1,"Flag",0,57,2
30,5,"GotCha","SirMixAlot","NOVA",1,"Flag",0,12182,2
25,6,"City Name","torno",,1,"Flag",0,0,2
26,6,"City Name","sahand",,3,"Flag",0,0,2
26,7,"City Name","yannick",,1,"Flag",0,0,2
33,0,"City Name","blaco424",,1,"Flag",0,4,2
34,1,"City Name","miss lenny",,1,"Flag",0,25,2
37,1,"City Name","eden amaya",,1,"Flag",0,38,2
38,4,"City Name","HeadLess",,1,"Flag",0,0,2
36,6,"City Name","boboy",,1,"Flag",0,34,2
42,0,"village","lilone","weDeadly",1,"dead",2715,29768,2
46,0,"City Name","edgar boxh",,1,"Flag",0,0,2
44,1,"38DD","Hardcore","GLOBAL",1,71,1,106482,2
40,3,"City Name","jannys",,1,"Flag",0,0,2
46,3,"City Name","ss9",,3,"Flag",0,21,2
43,6,"City Name","Isaac Kagaho",,3,"Flag",0,0,2
41,7,"castleName","RaginPheo",,3,"DETH",0,0,2
52,1,"City Name","emanuelfleury",,3,"Flag",0,13,2
53,2,"City Name","Josu",,1,"Flag",0,13,2
53,3,"City Name","hafiz g",,1,"Flag",0,61,2
55,6,"Watchtower","BlackBear",,1,"Jimi",0,155,2
63,2,"AGIMA","Anyr","RETRO",1,"TY",2309,246419,2
56,5,"City Name","paul cubero",,1,"Flag",0,53,2
62,7,"City Name","JuanDerFul",,1,"Flag",0,2253,2
68,1,"castleName","Dez",,1,"DEZ",0,0,2
71,1,"City Name","saed",,1,"Flag",0,60,2
64,5,"City Name","anmar",,1,"Flag",0,0,2
65,6,"TOWN","Doctor",,1,"sin",0,5064,2
68,6,"grinch","gabotee",,3,"Flag",0,73,2
66,7,"castleName","Amblem",,1,"2BIG",0,0,2
72,1,"City Name","camila01",,3,"Flag",0,0,2
79,4,"City Name","jabo",,3,"Flag",0,88,2
79,6,"Mitchell","Xavier02",,1,"NC",0,25071,2
78,7,"City Name","Manuel Alzamendi",,1,"Flag",0,25,2
79,7,"City Name","Acer Negundo",,1,"Flag",0,216,2
83,0,"City Name","Augusto1907",,1,"Flag",0,21,2
80,1,"City Name","prince jianfred",,1,"Flag",0,0,2
80,7,"City Name","fidodvd",,1,"Flag",0,4,2
88,0,"City Name","alverson",,1,"Flag",0,0,2
95,0,"City Name","black dead",,3,"Flag",0,21,2
90,5,"City Name","Lord47094645",,1,"Flag",0,0,2
95,5,"City Name","versy",,3,"Flag",0,53,2
88,6,"City Name","chh78",,3,"Flag",0,13,2
